CustomerID,Gender,Age,Annual Income,Spending Score
179,Male,57,104,9
180,Male,27,58,67
181,Male,60,78,25
182,Male,61,71,98
183,Female,46,87,76
184,Male,30,126,42
185,Male,29,129,9
186,Male,48,146,79
187,Female,63,85,40
188,Male,19,44,25
189,Male,68,10,5
190,Female,67,49,11
191,Male,52,73,59
192,Male,40,69,98
193,Male,34,73,88
194,Male,43,102,79
195,Male,25,81,38
196,Female,46,20,72
197,Female,43,114,5
198,Female,27,23,48
199,Male,43,69,90
200,Male,51,39,18
201,Male,68,44,70
202,Female,58,14,37
203,Male,24,92,60
204,Male,21,132,48
205,Female,67,87,77
206,Male,62,71,28
207,Female,28,141,69
208,Female,46,98,77
209,Female,53,51,81
210,Male,42,98,40
211,Male,38,49,45
212,Male,53,81,96
213,Male,27,48,62
214,Male,54,113,93
215,Male,26,23,58
216,Male,41,41,67
217,Female,52,134,56
218,Male,66,106,40
219,Female,52,32,98
220,Male,65,72,40
221,Male,53,62,91
222,Male,35,113,77
223,Female,66,113,33
224,Female,56,48,6
225,Female,49,143,88
226,Female,41,76,19
227,Male,40,144,80
228,Female,49,51,40
229,Male,54,24,92
230,Male,29,120,97
231,Female,66,42,59
232,Female,30,47,59
233,Female,40,106,48
234,Female,42,42,41
235,Female,52,95,13
236,Female,58,75,45
237,Female,47,19,89
238,Female,34,14,53
239,Male,66,132,42
240,Female,37,83,63
241,Female,65,106,27
242,Male,42,127,38
243,Female,39,47,60
244,Male,30,56,7
245,Male,36,118,5
246,Female,66,24,45
247,Male,53,145,58
248,Male,29,14,31
249,Male,58,56,23
250,Male,36,77,42
251,Female,29,85,10
252,Male,26,139,32
253,Female,24,104,53
254,Male,45,124,30
255,Male,31,45,39
256,Male,48,35,31
257,Male,69,52,82
258,Female,36,36,2
259,Female,64,78,78
260,Male,33,20,77
261,Male,22,83,93
262,Female,52,113,12
263,Male,29,47,39
264,Male,42,143,66
265,Male,69,32,96
266,Female,38,56,13
267,Female,53,99,46
268,Female,40,55,27
269,Male,33,116,17
270,Male,56,149,95
271,Female,62,113,98
272,Female,59,120,60
273,Female,56,113,64
274,Female,31,69,88
275,Male,48,109,35
276,Female,22,77,70
277,Male,52,142,83
278,Female,40,129,30
279,Male,46,46,71
280,Female,60,81,74
281,Female,28,136,96
282,Female,35,115,98
283,Female,64,101,63
284,Male,29,40,28
285,Female,26,131,60
286,Male,27,146,79
287,Male,61,60,94
288,Male,34,38,37
289,Male,55,49,93
290,Female,24,50,22
291,Male,63,20,68
292,Male,30,10,20
293,Male,57,55,96
294,Female,59,110,68
295,Female,26,99,91
296,Female,67,119,64
297,Female,44,66,17
298,Male,19,10,12
299,Male,22,72,22
300,Female,46,64,17
301,Male,54,124,10
302,Male,55,62,65
303,Male,36,146,22
304,Female,25,66,90
305,Female,65,126,82
306,Male,62,44,50
307,Female,18,72,14
308,Female,39,34,64
309,Female,69,99,47
310,Female,34,84,29
311,Female,24,47,76
312,Male,42,139,36
313,Female,62,144,99
314,Male,21,100,52
315,Male,53,26,76
316,Female,23,137,7
317,Male,48,117,29
318,Male,36,34,11
319,Male,61,97,33
320,Female,56,38,6
321,Female,44,72,79
322,Male,27,123,32
323,Female,43,58,51
324,Female,36,90,75
325,Female,56,93,58
326,Female,20,114,87
327,Male,62,127,26
328,Male,30,95,98
329,Female,67,72,46
330,Female,45,113,98
331,Male,37,58,29
332,Male,45,80,4
333,Female,25,10,81
334,Male,58,132,99
335,Female,56,71,13
336,Female,18,41,39
337,Male,20,38,15
338,Male,30,58,29
339,Female,45,39,29
340,Female,66,28,75
341,Male,42,27,32
342,Female,50,10,2
343,Male,55,87,47
344,Female,23,124,78
345,Male,61,122,84
346,Male,62,123,22
347,Male,49,72,75
348,Female,62,141,27
349,Female,64,138,67
350,Male,38,17,81
351,Female,33,64,56
352,Male,38,112,92
353,Male,28,140,93
354,Female,54,41,21
355,Female,53,19,47
356,Male,52,119,80
357,Female,36,133,59
358,Female,37,96,84
359,Male,35,64,6
360,Male,64,41,19
361,Female,58,144,57
362,Male,66,102,69
363,Male,31,17,3
364,Female,32,74,1
365,Male,48,66,58
366,Male,18,76,38
367,Female,20,81,15
368,Female,33,63,34
369,Male,40,76,61
370,Male,28,60,35
371,Female,29,106,64
372,Female,27,101,25
373,Female,49,17,24
374,Female,33,44,12
375,Male,25,105,18
376,Female,55,97,15
377,Female,29,87,80
378,Male,41,41,27
379,Female,45,129,72
380,Male,25,55,60
381,Female,45,64,46
382,Female,53,16,89
383,Female,43,83,17
384,Male,25,16,93
385,Male,67,94,53
386,Female,45,121,8
387,Male,45,134,79
388,Male,54,45,27
389,Male,58,38,46
390,Male,53,91,50
391,Male,44,11,71
392,Male,34,138,3
393,Female,26,56,93
394,Female,50,20,64
395,Male,37,139,44
396,Female,30,128,53
397,Female,45,149,24
398,Female,65,29,60
399,Female,46,14,3
400,Male,30,46,20
401,Female,63,146,46
402,Female,52,62,15
403,Male,23,108,25
404,Male,35,95,94
405,Female,68,117,78
406,Female,22,33,71
407,Female,64,90,17
408,Female,42,129,84
409,Female,19,68,9
410,Female,27,137,38
411,Male,47,123,48
412,Female,67,124,60
413,Female,62,23,63
414,Male,22,18,86
415,Male,50,49,2
416,Male,18,34,88
417,Male,35,112,72
418,Female,49,31,11
419,Female,64,13,64
420,Female,66,38,77
421,Female,28,118,81
422,Female,38,107,72
423,Female,43,46,21
424,Male,42,84,18
425,Female,39,79,94
426,Male,44,137,64
427,Male,66,94,82
428,Female,30,51,95
429,Male,50,109,38
430,Female,51,50,32
431,Male,58,43,11
432,Female,52,26,45
433,Male,18,131,89
434,Female,38,85,33
435,Female,65,96,41
436,Female,23,126,8
437,Female,45,115,11
438,Female,34,95,86
439,Male,22,36,51
440,Male,48,66,88
441,Male,22,40,41
442,Female,55,143,17
443,Male,20,107,76
444,Female,40,21,46
445,Female,54,62,32
446,Male,54,147,79
447,Male,27,131,80
448,Female,27,55,54
449,Male,36,73,86
450,Female,34,139,92
451,Female,38,63,20
452,Female,31,116,33
453,Female,26,60,74
454,Female,63,45,40
455,Male,18,124,32
456,Male,68,35,97
457,Female,62,38,2
458,Female,30,20,97
459,Male,21,49,33
460,Male,18,20,77
461,Female,66,122,30
462,Male,57,48,33
463,Female,49,63,77
464,Male,51,107,26
465,Female,45,64,22
466,Male,48,120,66
467,Female,25,78,38
468,Male,56,65,90
469,Male,43,42,46
470,Female,51,45,15
471,Male,20,90,98
472,Female,67,118,44
473,Male,29,82,49
474,Female,18,49,75
475,Male,61,26,61
476,Female,22,138,67
477,Male,47,70,6
478,Female,47,113,9
479,Male,34,51,6
480,Female,65,34,73
481,Female,64,48,95
482,Female,40,44,32
483,Male,32,140,41
484,Female,54,117,76
485,Male,38,111,8
486,Female,31,107,72
487,Male,19,21,50
488,Female,28,28,92
489,Male,68,110,62
490,Male,56,53,84
491,Female,55,58,62
492,Male,51,26,7
493,Male,55,83,75
494,Female,67,66,84
495,Male,51,64,80
496,Male,35,56,4
497,Male,47,21,6
498,Female,32,71,58
499,Male,44,89,22
500,Female,68,92,26
